"Name","Country","Actor Type","Established","Last Seen"
"Gionee","Undetermined","Criminal","","2020-12-07"
"Giulio Occhionero; Francesca Maria Occhionero","Undetermined","Undetermined","","2017-01-11"
"Gnosticplayers","Undetermined","Criminal","","2019-09-29"
"GoatRAT","Undetermined","Criminal","","2023-03-14"
"Godzilla","Pakistan","Hacktivist","","2014-04-08"
"GOLD DUPONT","Russian Federation","Criminal","","2022-04-05"
"Golem","Undetermined","Criminal","","2023-10-02"
"Gordon Welterlen; Nicole Milan","Undetermined","Criminal","","2020-04-03"
"Graham Ivan Clark","Undetermined","Criminal","","2020-07-15"
"Green Dragon Crew","Ukraine","Hacktivist","","2014-06-30"
"Green Leakers","Iran (Islamic Republic of)","Hacktivist","","2019-05-09"
"Greenbug","Iran (Islamic Republic of)","Nation-State","","2020-05-19"
"GrenXPaRTa","Undetermined","Undetermined","","2015-12-07"
"Grief","Russian Federation","Criminal","","2021-05-28"
"Groove","Russian Federation","Criminal","","2021-10-23"
"Group_Dmar","Kuwait","Hacktivist","","2016-11-26"
"GRU 85th Main Special Service Center (Unit 26165) (FANCYBEAR)","Russian Federation","Nation-State","","2023-09-03"
"GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM)","Russian Federation","Nation-State","","2023-09-30"
"GRU Unit 74455 (SANDWORM)","Russian Federation","Undetermined","","2016-12-16"
"Guacamaya","Undetermined","Hacktivist","","2022-09-30"
"Guccifer 2.0","Mexico","Nation-State","","2016-07-14"
"GURMO","Ukraine","Nation-State","","2022-03-07"
"H1d3n Root","United States of America","Hacktivist","","2015-05-20"
"H4$N4!N H4XOR","Pakistan","Hacktivist","","2014-05-29"
"H4x0r HuSsY","Pakistan","Hobbyist","","2014-01-07"
"H4x0r10ux m1nd","India","Hacktivist","","2014-04-20"
"Hack for Trump","Undetermined","Criminal","","2015-09-22"
"Hacker Buba","Undetermined","Criminal","","2015-11-25"
"hackermanfrisch","Undetermined","Undetermined","","2016-07-01"
"Hackers of Savior","Undetermined","Hacktivist","","2022-04-25"
"Hacktivist Indonesia","India","Hacktivist","","2023-09-11"
"Hacktivists from Ukraine","Ukraine","Hacktivist","","2023-05-29"
"Hagash Team","United States of America","Hacktivist","","2015-05-04"
"HAMAS","Palestine, State of","Terrorist","","2023-10-10"
"Hanom1960","Uganda","Hacktivist","","2016-02-06"
"Hanom1960 AKA @hanomlulzsec","Costa Rica","Hacktivist","","2016-01-26"
"Hanom1960; Chilean Hackers; Hazzard","Undetermined","Undetermined","","2016-02-10"
"HaX0r Beast Prayer","Undetermined","Hobbyist","","2014-10-10"
"Hayalim Almonim","United States of America","Hacktivist","","2021-02-04"
"Haydamaki","Ukraine","Hacktivist","","2022-09-12"
"Hdr0","Undetermined","Hacktivist","","2023-10-04"
"Hector Navarro","Undetermined","Undetermined","","2020-10-24"
"Hell Shield Hackers","Pakistan","Hacktivist","","2015-10-03"
"HelloKitty","Undetermined","Criminal","","2021-07-11"
"herbapproach@protonmail.com","Undetermined","Criminal","","2018-03-09"
"HighTech Brazil Hackteam","Undetermined","Undetermined","","2018-04-19"
"His Royal Gingerness","Undetermined","Hobbyist","","2015-11-09"
"Histeria","Undetermined","Undetermined","","2015-03-29"
"HitlerSec","Undetermined","Undetermined","","2014-01-06"
"Hive","Russian Federation","Criminal","","2023-05-30"
"Hmei7","Undetermined","Hobbyist","","2014-06-04"
"Hmei7; SultanHaikal","Undetermined","Hacktivist","","2014-01-15"
"HolaKo","India","Hacktivist","","2015-04-30"
"holo-gfx","Undetermined","Criminal","","2021-03-21"
"Homeland Cheetahs","Undetermined","Undetermined","","2020-07-02"
"Horux","Undetermined","Criminal","","2015-09-18"
"Hotarus Corp","Undetermined","Criminal","","2021-02-26"
"Huawei","China","Nation-State","","2014-02-06"
"Hufflepuff","Undetermined","Criminal","","2015-07-05"
"Hunter butt","Undetermined","Undetermined","","2018-04-23"
"Hunters International","Undetermined","Criminal","","2023-10-22"
"IAMLUPO","Undetermined","Undetermined","","2014-10-15"
"IamNoobie","Philippines","Hacktivist","","2021-03-01"
"IBH (Indian Black Hats)","Pakistan","Hacktivist","","2016-01-08"
"Ibraheem Ahmed Al Bayati","Undetermined","Undetermined","","2020-09-02"
"ICC_H@ckTeam","Russian Federation","Hacktivist","","2022-07-03"
"Impotent","Undetermined","Hobbyist","","2023-05-29"
"INC","Undetermined","Criminal","","2023-09-20"
"Indian Cyber Force","India","Hacktivist","","2023-10-10"
"Indian hackers","Pakistan","Hacktivist","","2020-08-02"
"Individual","United States of America","Criminal","","2019-03-27"
"INDRIK SPIDER","Russian Federation","Criminal","","2021-04-10"
"Industrial Spy","Undetermined","Criminal","","2022-10-10"
"Initial access broker (IAB) with ties to the UNC2447 cyber crime gang, Lapsus$ threat actor group, and Yanluowang ransomware operators.","Undetermined","Criminal","","2022-08-10"
"InstaKilla","Bulgaria","Criminal","","2019-10-10"
"IntelBroker","Undetermined","Criminal","","2023-03-07"
"Intrusion Truth","Undetermined","Undetermined","","2019-07-24"
"Intsights","Israel","Hacktivist","","2016-08-04"
"Iran Cyber Security Group Hackers","Undetermined","Hacktivist","","2020-01-04"
"Iranian hacker","Undetermined","Undetermined","","2020-01-06"
"Iranian Nasr Institute (APT33)","Iran (Islamic Republic of)","Nation-State","","2020-01-09"
"Iranian Revolutionary Guard Corps (CyberAv3ngers)","Iran (Islamic Republic of)","Nation-State","","2023-10-17"
"IRIDIUM","Iran (Islamic Republic of)","Nation-State","","2022-03-10"
"IsHaKdZ","Undetermined","Criminal","","2018-05-30"
"Islamic Cyber Army","Syrian Arab Republic","Terrorist","","2015-12-14"
"Islamic Cyber Resistance","Iran (Islamic Republic of)","Hacktivist","","2014-08-06"
"Islamic Revolutionary Guard Corps (APT 35 Charming Kitten)","Iran (Islamic Republic of)","Nation-State","","2023-08-10"
"Islamic Revolutionary Guard Corps (IRGC)","Iran (Islamic Republic of)","Nation-State","","2023-05-01"
"Islamic State","Japan","Hacktivist","","2016-03-05"
"Islamic State Hacker","China","Hacktivist","","2016-01-18"
"Israel","Israel","Nation-State","","2020-05-09"
"Israeli Elite Force (IEF)","Israel","Hacktivist","","2019-07-19"
"IT Army of Ukraine","Ukraine","Hacktivist","","2023-02-21"
"ITA","Undetermined","Criminal","","2022-12-22"
"James Willy","Korea (the Democratic People's Republic of)","Nation-State","","2020-10-01"
"Jamescarter","Undetermined","Criminal","","2020-07-14"
"Jamie Stephanie Guilford","Undetermined","Undetermined","","2020-09-11"
"Janitor","Undetermined","Criminal","","2017-04-10"
"JAx","United States of America","Hacktivist","","2021-02-28"
"Jeffrey","Undetermined","Criminal","","2014-09-09"
"Jennifer Lennell Small","Undetermined","Criminal","","2020-10-27"
"JM511","Undetermined","Undetermined","","2015-08-23"
"John Doe","Undetermined","Criminal","","2021-03-24"
"John Wick (AKA Korean Hackers)","Undetermined","Criminal","","2020-09-02"
"JokerStash","Undetermined","Criminal","","2016-07-08"
"JokerStash AKA Fin7 AKA Carbanak","Undetermined","Criminal","","2018-04-01"
"Jonathan Ly","United States of America","Criminal","","2016-12-05"
"Jonathan Powell","United States of America","Criminal","","2016-11-02"
"Jose Bautista","United States of America","Criminal","","2014-05-02"
"Justice Blade","Undetermined","Criminal","","2022-11-07"
"K0LzSec","Undetermined","Criminal","","2023-08-08"
"Kai-H4xOrR","India","Hacktivist","","2014-10-12"
"Kai-H4xOrR; Shell Haxor","Pakistan","Hacktivist","","2014-10-08"
"KalvinSecurity","Undetermined","Hacktivist","","2023-03-13"
"Kami Haxor","India","Hacktivist","","2015-01-01"
"Kapustkiy","Undetermined","Hacktivist","","2017-01-14"
"Kapustkiy; Cryptolulz666","Undetermined","Hobbyist","","2016-12-25"
"Kapustkiy; CyberZeist","Undetermined","Undetermined","","2016-11-21"
"Kapustkiy; Kasimierz L","India","Hacktivist","","2016-12-07"
"Karakurt","Undetermined","Criminal","","2023-07-31"
"KarmaSec","Japan","Hacktivist","","2016-03-18"
"Kelvin Onaghinor","United States of America","Criminal","","2016-12-18"
"Kelvin Security","Undetermined","Criminal","","2022-11-15"
"KelvinSecTeam","Undetermined","Undetermined","","2015-11-08"
"Kerala Cyber Hackers","India","Hacktivist","","2020-06-27"
"Kernelware","Undetermined","Hobbyist","","2023-03-14"
"KibOrg and NLB","Ukraine","Nation-State","","2023-10-15"
"KillMilk","Russian Federation","Hobbyist","","2022-11-12"
"Killnet","Russian Federation","Hacktivist","","2023-10-08"
"Kim Jong-Cracks","Undetermined","Undetermined","","2014-07-21"
"KINGDOM","Saudi Arabia","Nation-State","","2018-06-21"
"Kiprop","Kenya","Hobbyist","","2021-07-20"
"Knight","Undetermined","Criminal","","2023-10-17"
"Kraken","Undetermined","Criminal","","2023-01-13"
"Kristian Boykov","Bulgaria","Hacktivist","","2019-07-15"
"KromSec","Undetermined","Hacktivist","","2023-07-02"
"Kuroi'SH","Undetermined","Undetermined","","2017-02-19"
"Kuroi'SH; Prosox","United States of America","Hacktivist","","2018-04-10"
"Kyfx","Undetermined","Undetermined","","2015-09-13"
"L.M.","Undetermined","Undetermined","","2018-08-28"
"L0RDBR","Undetermined","Undetermined","","2021-03-06"
"l1kw1d","Undetermined","Undetermined","","2015-08-06"
"Lab Dookhtegan","Iran (Islamic Republic of)","Hacktivist","","2019-06-03"
"labs666","Undetermined","Criminal","","2023-06-21"
"Lapsu$","Undetermined","Criminal","","2022-02-23"
"Lapsus$","Undetermined","Criminal","","2022-05-13"
"Lapsus$ gang","Undetermined","Criminal","","2022-12-02"
"Laura Rose Carroll","Undetermined","Undetermined","","2021-03-16"
"Le Duc Hoang Hai","Viet Nam","Criminal","","2017-12-10"
"LeakBase","Undetermined","Criminal","","2023-01-18"
"Lebanese Cedar","Lebanon","Terrorist","","2021-01-28"
"Legion","Undetermined","Undetermined","","2016-12-09"
"Legion Cyber Spetsnaz","Russian Federation","Criminal","","2022-06-29"
"Libyan Cyber Army","Libya","Hacktivist","","2014-04-28"
"Light","Undetermined","Criminal","","2020-04-28"
"Linker Squad","Undetermined","Criminal","","2015-04-15"
"Lizard Squad","Undetermined","Undetermined","","2019-11-12"
"LNO uNiTy","Undetermined","Undetermined","","2015-02-21"
"LockBit","Russian Federation","Criminal","","2023-05-31"
"LockBit 2.0","Undetermined","Criminal","","2022-02-27"
"LockBit 3.0","Undetermined","Criminal","","2023-10-30"
"LockBit 3.1","Undetermined","Criminal","","2023-06-06"
"LockBit 3.2","Undetermined","Criminal","","2023-06-02"
"Logan","Undetermined","Criminal","","2017-07-25"
"Lone Wolf","Undetermined","Criminal","","2023-08-04"
"Lorde Bashtien","Undetermined","Undetermined","","2016-01-23"
"Lorenz","Undetermined","Criminal","","2023-10-03"
"LOSPELAOSBRO","Undetermined","Criminal","","2022-04-05"
"Lost Trust","Undetermined","Criminal","","2023-09-27"
"Lov3rDns","United States of America","Hacktivist","","2015-07-11"
"LulzSec (Peru)","Peru","Hacktivist","","2014-02-15"
"LulzSec Pilipinas","Philippines","Hacktivist","","2016-03-27"
"LulzSecITA","Italy","Hacktivist","","2020-07-14"
"LulzSecITA; Anonymous (Italy)","Italy","Hacktivist","","2019-05-06"
"LV","Undetermined","Criminal","","2022-11-25"
"Lynx","Undetermined","Undetermined","","2020-02-21"
"m1x","Russian Federation","Criminal","","2020-06-12"
"Machete","Undetermined","Nation-State","","2019-08-05"
"MaDLeeTs","Indonesia","Hacktivist","","2014-10-05"
"MaeSTro-GhoL","United States of America","Hacktivist","","2014-08-28"
"Magadimarus","Undetermined","Criminal","","2020-07-10"
"Mak Man","Undetermined","Undetermined","","2015-05-28"
"Malek Team","Undetermined","Hacktivist","","2023-10-08"
"Malsmoke","Undetermined","Criminal","","2020-09-11"
"Mamad Warning","Undetermined","Undetermined","","2019-08-19"
"Mango Sandstorm","Iran (Islamic Republic of)","Nation-State","","2023-05-06"
"ManiAc Naiem","Undetermined","Undetermined","","2014-10-02"
"Mark Nsd","Undetermined","Criminal","","2014-04-01"
"Mastermind","Undetermined","Criminal","","2015-01-25"
"Mat AKA @0xScripts","Undetermined","Criminal","","2017-10-24"
"Matrong","Undetermined","Criminal","","2022-07-25"
"MaXiMiZerS","Undetermined","Hacktivist","","2014-02-03"
"MAZE","Undetermined","Criminal","","2020-11-03"
"Medusa","Undetermined","Criminal","","2023-10-12"
"MedusaLocker","Undetermined","Criminal","","2023-02-24"
"Meowless","Undetermined","Criminal","","2021-05-06"
"Meris Botnet","Undetermined","Criminal","","2021-09-09"
"Mespinoza","Undetermined","Criminal","","2020-10-13"
"Metropolis","Undetermined","Undetermined","","2016-03-15"
"Mexican drug cartels","Mexico","Criminal","","2015-12-31"
"MexicanH Team","Mexico","Hacktivist","","2015-08-10"
"Michael Westbury","Undetermined","Undetermined","","2020-10-07"
"Middle East Cyber Army","New Zealand","Hacktivist","","2015-06-10"
"Ministry of Intelligence and Security (MOIS) (APT 34 OilRig)","Iran (Islamic Republic of)","Nation-State","","2022-05-11"
"Ministry of State Security's (MSS) (APT19)","China","Nation-State","","2017-02-26"
"Ministry of State Security's (MSS) (APT31)","China","Nation-State","","2022-07-18"
"Ministry of State Security's (MSS) (MUSTANG PANDA)","China","Nation-State","","2023-06-22"
"Ministry of State Security's (MSS) Guangdong State Security Department (GSSD) (APT3)","China","Nation-State","","2017-11-27"
"Ministry of State Security's (MSS) Hainan State Security Department (APT40)","China","Nation-State","","2021-03-17"
"Ministry of State Security's (MSS) Jinan State Security Department (APT17)","China","Nation-State","","2019-10-02"
"Ministry of State Security's (MSS) Tianjin State Security Department (APT10)","China","Nation-State","","2022-03-23"
"Mint Sandstorm","Iran (Islamic Republic of)","Nation-State","","2023-05-06"
"Mirai","Russian Federation","Hacktivist","","2023-01-02"
"MirrorFace","Undetermined","Undetermined","","2022-07-30"
"Money Message","Undetermined","Criminal","","2023-04-08"
"MoneyTaker","Undetermined","Criminal","","2018-07-20"
"Monte Melkonian Cyber Army (MMCA)","Azerbaijan","Hacktivist","","2016-09-25"
"Monti","Undetermined","Criminal","","2023-10-01"
"Mormoroth","Iran (Islamic Republic of)","Hacktivist","","2014-02-25"
"MoRo","Undetermined","Criminal","","2017-06-18"
"Moroccan Hassan","France","Hacktivist","","2015-01-29"
"Moroccan Islamic Union-Mail","Saudi Arabia","Hacktivist","","2015-05-24"
"Moroccan Revolution Team","United States of America","Hacktivist","","2015-05-22"
"Moroccanwolf","United Kingdom of Great Britain and Northern Ireland","Hacktivist","","2015-08-26"
"Moses Staff","Iran (Islamic Republic of)","Hacktivist","","2022-12-19"
"Mount Locker","Undetermined","Criminal","","2021-01-19"
"MoustachedBouncer","Belarus","Nation-State","","2023-08-09"
"Mr 4nOnymOus (part of 034th adr355 Cr3w)","India","Hacktivist","","2015-12-30"
"Mr.H4rD3n","Azerbaijan","Hacktivist","","2015-08-15"
"mr.nsaany","Undetermined","Undetermined","","2015-10-30"
"Mr.Rocky; Mr.Slyman","Saudi Arabia","Hacktivist","","2014-08-15"
"Mr.Xhat","Iran (Islamic Republic of)","Hobbyist","","2014-01-06"
"Mr.Xpr!","Saudi Arabia","Hacktivist","","2015-08-23"
"MrNervous","Undetermined","Criminal","","2014-04-04"
"Mufasa","Undetermined","Criminal","","2015-06-06"
"Muhammad Bilal","India","Hacktivist","","2014-04-19"
"Muhammad Bilalhas","India","Hacktivist","","2014-08-21"
"Muhammad Fahd","United States of America","Criminal","","2019-08-05"
"MuhmadEmad","United States of America","Hacktivist","","2016-05-26"
"MuhmadEmad; Anonymous (Kurdistan)","Turkey","Hacktivist","","2015-01-02"
"Multiple Pakistani hacking groups","India","Hacktivist","","2015-11-27"
"Muslim Electronic Army","Undetermined","Hacktivist","","2015-12-01"
"MuslimLeets (aka Muj4hida)","Undetermined","Hacktivist","","2016-09-17"
"Myanmar Hackers","Myanmar","Hacktivist","","2021-02-18"
"Myrotvorets","Ukraine","Hacktivist","","2016-09-03"
"Mysterious Team","Undetermined","Hacktivist","","2023-10-25"
"Mysterious Team Bangladesh","Bangladesh","Hacktivist","","2022-09-22"
"N.T.R.","Undetermined","Undetermined","","2016-11-16"
"N33LOB33","Undetermined","Hobbyist","","2019-04-08"
"n3tr1x; str0ng","Undetermined","Undetermined","","2017-10-26"
"N3TW0RM","Undetermined","Criminal","","2021-05-02"
"N4ughtysecTU","Undetermined","Criminal","","2022-03-18"
"nairb","Undetermined","Hacktivist","","2014-02-13"
"Nathan","Undetermined","Hobbyist","","2019-10-06"
"Nathan Leroux; Sanadodeh Nesheiwat; David Pokora; Austin Alcala;","United States of America","Criminal","","2014-10-01"
"Nathan Wyatt AKA Crafty Cockney","Undetermined","Criminal","","2016-09-27"
"National Republican Army (NRA)","Russian Federation","Hacktivist","","2022-10-02"
"National Republican Army of Russia","Russian Federation","Undetermined","","2022-10-18"
"National Security Agency","United States of America","Nation-State","","2022-09-11"
"National Security Service Unit 02616","Uzbekistan","Nation-State","","2019-10-31"
"Nationalist","Undetermined","Criminal","","2023-09-03"
"NB65","Undetermined","Hacktivist","","2022-04-18"
"NB65 (AKA Network Battalion 65)","Ukraine","Hacktivist","","2022-06-09"
"nclay","Undetermined","Criminal","","2017-05-17"
"NDT SEC","Undetermined","Criminal","","2023-08-04"
"Ne0-H4ck3r","Pakistan","Hacktivist","","2017-08-03"
"Ne0-h4ck3r; TiGER-M@TE; F0RTYS3V3N","Bangladesh","Hobbyist","","2015-04-15"
"NetherlandsMoDz","Undetermined","Undetermined","","2015-10-29"
"NetPirates AKA @TheNetShip","Undetermined","Undetermined","","2015-11-21"
"netsaosa","Undetermined","Hobbyist","","2021-11-01"
"NetWalker","Undetermined","Criminal","","2020-12-12"
"New World Hackers (NWH)","Undetermined","Undetermined","","2016-08-07"
"New World Hackers group (NWH)","United States of America","Hacktivist","","2016-03-13"
"New World Hacktivists (NWH)","United States of America","Hacktivist","","2016-01-02"
"New World Order","United States of America","Criminal","","2019-07-26"
"NGB 3rd Technical Surveillance Bureau","","Nation-State","","2023-09-30"
"NGB 3rd Technical Surveillance Bureau (BlueNorff)","Korea (the Democratic People's Republic of)","Nation-State","","2022-12-27"
"NGB 3rd Technical Surveillance Bureau (Kimsuky)","Korea (the Democratic People's Republic of)","Nation-State","","2023-08-20"
"Nicholas Truglia","Undetermined","Criminal","","2018-11-23"
"Nigerian Cyber Army","Nigeria","Hacktivist","","2015-03-28"
"Nigerian Cyber Hunters","Nigeria","Undetermined","","2014-08-25"
"Nigerian Individuals","Philippines","Criminal","","2020-09-09"
"NightLion","Undetermined","Criminal","","2020-07-13"
"NLB","Ukraine","Hacktivist","","2022-12-15"
"NLB Team","Ukraine","Hacktivist","","2022-12-13"
"NN Hacking Group","Undetermined","Criminal","","2020-04-05"
"NoEscape","Undetermined","Criminal","","2023-10-24"
"nofawkX-al","Undetermined","Undetermined","","2016-06-21"
"Nofawkx-al; Kkuq e zi","Undetermined","Undetermined","","2016-06-26"
"Nokoyawa","Undetermined","Criminal","","2023-05-15"
"Noname 057(16)","Russian Federation","Hacktivist","","2023-04-04"
"NoName057(16)","Russian Federation","Hacktivist","","2023-09-29"
"NSHC","Undetermined","Undetermined","","2016-03-16"
"NullCrew","Undetermined","Hacktivist","","2014-04-21"
"NullCrew; TheHorseMenLulz","United Arab Emirates","Hacktivist","","2014-04-03"
"Nulled","Undetermined","Criminal","","2023-07-17"
"ObeySec","Undetermined","Undetermined","","2014-01-07"
"Odinaff group","Undetermined","Criminal","","2016-10-12"
"Omnichorus","Undetermined","Criminal","","2020-01-14"
"OneFist","Ukraine","Hacktivist","","2022-10-05"
"Opheus Haxor","Undetermined","Undetermined","","2015-07-27"
"Oppressed Defenders","Saudi Arabia","Hacktivist","","2015-02-23"
"OpSeaWorld","United States of America","Hacktivist","","2015-02-10"
"optusdata","Undetermined","Criminal","","2022-09-22"
"Orion","Undetermined","Criminal","","2015-11-11"
"Osiris banking Trojan","Russian Federation","Criminal","","2020-06-26"
"Ouch","Undetermined","Criminal","","2015-03-21"
"OurMine","Saudi Arabia","Hobbyist","","2020-02-15"
"Ov1ru$","Russian Federation","Hacktivist","","2019-07-13"
"p0lak & sh0utz","Undetermined","Undetermined","","2015-01-17"
"p0lak; sh0utz","Undetermined","Undetermined","","2015-01-31"
"Paige Thompson","Undetermined","Criminal","","2019-07-29"
"Pak Cyber Eaglez","Pakistan","Hacktivist","","2014-09-05"
"Pakistan","Pakistan","Nation-State","","2019-10-14"
"Pakistan Haxors Crew","Pakistan","Hacktivist","","2014-06-22"
"Pakistani Cyber Attackers","India","Hacktivist","","2015-11-28"
"Pakiz Cyber Squad","Pakistan","Undetermined","","2014-01-03"
"Palesa","Undetermined","Criminal","","2020-03-25"
"Panama","Panama","Nation-State","","2017-06-20"
"Pandora","Undetermined","Criminal","","2022-02-10"
"Paw Security","China","Hacktivist","","2014-08-07"
"Pay2Key","Undetermined","Undetermined","","2020-12-25"
"PayOrG","Undetermined","Criminal","","2021-05-29"
"PayorGrief","Undetermined","Criminal","","2021-10-27"
"Peace","Undetermined","Criminal","","2016-10-19"
"Peace AKA Peace_Of_Mind","Undetermined","Criminal","","2016-10-02"
"PeggleCrew","Undetermined","Undetermined","","2016-08-02"
"Penis AKA @DotGovs","United States of America","Hacktivist","","2016-02-08"
"People's CyberArmy","Russian Federation","Hacktivist","","2023-01-18"
"People's Liberation Army Strategic Support Force  (Wicked PANDA)","China","Nation-State","","2021-03-01"
"People's Liberation Army Strategic Support Force (PLA Unit 61398)","China","Nation-State","","2014-07-14"
"People's Mujahedin of Iran (MEK)","Iran (Islamic Republic of)","Hacktivist","","2022-06-02"
"People's Mujahideen Organization of Iran (PMOI)","Iran (Islamic Republic of)","Hacktivist","","2022-01-27"
"People'sÃ¯Â¿Â½LiberationÃ¯Â¿Â½ArmyÃ¯Â¿Â½StrategicÃ¯Â¿Â½SupportÃ¯Â¿Â½Force","China","Nation-State","","2023-03-20"
"PeopleÃÆÃÂs Cyber Army","Russian Federation","Hacktivist","","2022-08-16"
"Pernicious Developers","Undetermined","Hobbyist","","2014-07-19"
"ph1k3","Undetermined","Undetermined","","2015-10-20"
"Phantom Squad","Undetermined","Undetermined","","2016-12-17"
"Phantom Squad; @cripthepoodle","Undetermined","Criminal","","2016-12-23"
"Phenomene Dz","Italy","Hacktivist","","2015-06-23"
"Philippine Army","Philippines","Nation-State","","2021-07-29"
"Phineas Fisher","Italy","Hacktivist","","2019-11-18"
"PhineasFisher","United Kingdom of Great Britain and Northern Ireland","Hacktivist","","2014-08-08"
"PHOBOS","Undetermined","Criminal","","2022-12-27"
"Phoenix","Ukraine","Hacktivist","","2023-03-16"
"Phoenix's Helmets (Anka Neferler Tim)","Turkey","Hacktivist","","2020-01-17"
"Photon AKA @PhotonicProton","Undetermined","Undetermined","","2015-10-31"
"PieWithNothing","Undetermined","Hobbyist","","2023-08-11"
"Pinoy Anonymouz","Undetermined","Hacktivist","","2014-02-02"
"Pinoy Grayhats","Undetermined","Undetermined","","2020-06-17"
"Pinoy LulzSec; Elite Cyber Security; MCA and PHU DDOS Squad","Philippines","Hacktivist","","2015-08-23"
"PLAY","Undetermined","Criminal","","2023-10-30"
"pompompurin","Undetermined","Criminal","","2022-08-12"
"PoodleCorp","Undetermined","Criminal","","2016-09-18"
"Powerful Greek Army","Undetermined","Undetermined","","2020-05-10"
"Pr0digy","Undetermined","Undetermined","","2015-05-16"
"pr0jekkt","Undetermined","Undetermined","","2016-09-29"
"Pravyy Sector","Undetermined","Undetermined","","2016-08-02"
"Prince AKA @n0w1337","Undetermined","Hobbyist","","2015-09-03"
"Pro-Palestinian","Undetermined","Hacktivist","","2023-10-10"
"pro-Russia Threat Actors","Russian Federation","Undetermined","","2023-03-21"
"ProbablyOnion","Undetermined","Undetermined","","2014-04-02"
"ProjectDump","Undetermined","Undetermined","","2015-12-14"
"ProLock","Undetermined","Criminal","","2020-05-11"
"Prometheus","Undetermined","Criminal","","2021-06-02"
"Prosox Shade","Undetermined","Undetermined","","2018-04-22"
"Protag","Undetermined","Criminal","","2020-04-10"
"ProtoWave","Brazil","Hobbyist","","2015-05-06"
"Pro_Mast3r","Undetermined","Undetermined","","2017-02-19"
"PT_Moisha","Undetermined","Criminal","","2022-09-28"
"PwndLocker","Undetermined","Criminal","","2020-03-02"
"Pyopz","Undetermined","Undetermined","","2016-04-08"
"Pysa","Undetermined","Criminal","","2021-09-05"
"Qadmon (or Kadimon)","Lebanon","Terrorist","","2016-02-19"
"Qilin","Undetermined","Criminal","","2023-08-08"
"Quantum","Undetermined","Criminal","","2022-11-01"
"Quilin","Undetermined","Criminal","","2022-09-07"
"R.I.U. Star Patrol","Undetermined","Criminal","","2016-12-21"
"r3dm0v3","Undetermined","Undetermined","","2016-04-06"
"R3dr0x","India","Hacktivist","","2020-06-09"
"RADIS","Undetermined","Hobbyist","","2022-11-12"
"Ragnar Locker","Undetermined","Criminal","","2023-09-07"
"Ragnarok","Undetermined","Criminal","","2021-03-31"
"RaHDIt","Russian Federation","Hacktivist","","2022-09-26"
"Raidforums","Undetermined","Criminal","","2019-08-13"
"Rajol Hazin","United States of America","Hacktivist","","2014-08-17"
"Rancor","China","Nation-State","","2019-12-17"
"Ransom House","Undetermined","Criminal","","2023-09-12"
"Ransomed","Undetermined","Criminal","","2023-09-08"
"RansomedVC","Undetermined","Criminal","","2023-10-05"
"RansomedVC or MajorNelson?","Undetermined","Criminal","","2023-09-26"
"RansomEXX","Undetermined","Criminal","","2023-03-02"
"RansomHouse","Undetermined","Criminal","","2023-05-03"
"Ransom_Man","Undetermined","Criminal","","2020-10-25"
"Ranzy Locker","Undetermined","Criminal","","2020-11-06"
"RawShark","New Zealand","Hacktivist","","2014-09-01"
"Red Echo","China","Nation-State","","2021-03-02"
"Red Hackers Alliance","Undetermined","Hacktivist","","2022-09-04"
"Red Hell Sofyan","Brazil","Hacktivist","","2016-06-20"
"Red Rabbit Team","Undetermined","Criminal","","2021-02-06"
"RedDelta","China","Nation-State","","2020-07-28"
"RedHack","Turkey","Hacktivist","","2016-09-26"
"REF9134","Undetermined","Criminal","","2023-06-21"
"Rekan Herror","United States of America","Hacktivist","","2017-03-12"
"Rektengle","Russian Federation","Criminal","","2022-07-09"
"Renauld Clayton","Undetermined","Criminal","","2020-08-17"
"Return","Undetermined","Criminal","","2016-08-24"
"REvil","Russian Federation","Criminal","","2022-09-01"
"Revolver AKA 1x0123","Undetermined","Criminal","","2016-10-19"
"Rex Mundi","France","Criminal","","2015-07-17"
"Rhysida","Undetermined","Criminal","","2023-10-14"
"RIAEvangelist","United States of America","Hobbyist","","2022-03-15"
"Richard Edmunds","Undetermined","Criminal","","2020-12-06"
"Richard Liriano","Undetermined","Undetermined","","2020-10-02"
"RIPPRGANG; Autismsquad","Undetermined","Hobbyist","","2015-04-23"
"River City Bank employee","Undetermined","Undetermined","","2020-09-29"
"rmsrf","Undetermined","Criminal","","2018-02-16"
"Rocket Kitten","Iran (Islamic Republic of)","Nation-State","","2016-08-02"
"rogue0","Undetermined","Criminal","","2018-09-05"
"Romantic; Intruder","India","Hacktivist","","2016-06-11"
"RootAyyildiz","United States of America","Hacktivist","","2021-10-18"
"RootDevilz; Jonturk75; Bozkurt97","India","Hacktivist","","2015-08-19"
"rootkitsecurity","Ukraine","Hacktivist","","2022-12-30"
"rOOX","India","Hacktivist","","2014-05-11"
"Rorschach","Undetermined","Criminal","","2023-10-25"
"ROR[RG]","Undetermined","Criminal","","2016-02-15"
"Royal","Undetermined","Criminal","","2023-05-22"
"runningsnail","Undetermined","Criminal","","2018-09-10"
"Russian Cyber Army","Russian Federation","Hacktivist","","2022-11-08"
"Russian Cyber Command","Russian Federation","Hacktivist","","2014-03-17"
"Russian hackers","Undetermined","Undetermined","","2016-09-30"
